Dual Name,Time Window (t),Vessel (v),Dual Value
tech_type_1_time_window_1_availability,1,1,0.0
tech_type_2_time_window_1_availability,1,1,0.0
tech_type_1_time_window_2_availability,2,1,0.0
tech_type_2_time_window_2_availability,2,1,0.0
tech_type_1_time_window_1_availability,1,2,0.0
tech_type_2_time_window_1_availability,1,2,0.0
tech_type_1_time_window_2_availability,2,2,0.0
tech_type_2_time_window_2_availability,2,2,0.0
tech_type_1_time_window_1_availability,1,3,0.0
tech_type_2_time_window_1_availability,1,3,0.0
tech_type_1_time_window_2_availability,2,3,0.0
tech_type_2_time_window_2_availability,2,3,0.0
one_route_per_vessel_Vessel_1_tw_1,1,1,0.0
tech_type_1_time_window_1_availability,1,1,0.0
tech_type_2_time_window_1_availability,1,1,0.0
job_1_once,1,1,3799.304761904762
job_2_once,1,1,0.0
one_route_per_vessel_Vessel_1_tw_2,2,1,0.0
tech_type_1_time_window_2_availability,2,1,0.0
tech_type_2_time_window_2_availability,2,1,0.0
job_1_once,2,1,3799.304761904762
job_2_once,2,1,0.0
one_route_per_vessel_Vessel_2_tw_1,1,2,0.0
tech_type_1_time_window_1_availability,1,2,0.0
tech_type_2_time_window_1_availability,1,2,0.0
job_1_once,1,2,3799.304761904762
job_2_once,1,2,0.0
one_route_per_vessel_Vessel_2_tw_2,2,2,0.0
tech_type_1_time_window_2_availability,2,2,0.0
tech_type_2_time_window_2_availability,2,2,0.0
job_1_once,2,2,3799.304761904762
job_2_once,2,2,0.0
one_route_per_vessel_Vessel_3_tw_1,1,3,0.0
tech_type_1_time_window_1_availability,1,3,0.0
tech_type_2_time_window_1_availability,1,3,0.0
job_1_once,1,3,3799.304761904762
job_2_once,1,3,0.0
one_route_per_vessel_Vessel_3_tw_2,2,3,936.0
tech_type_1_time_window_2_availability,2,3,0.0
tech_type_2_time_window_2_availability,2,3,0.0
job_1_once,2,3,3799.304761904762
job_2_once,2,3,0.0
one_route_per_vessel_Vessel_1_tw_1,1,1,0.0
tech_type_1_time_window_1_availability,1,1,0.0
tech_type_2_time_window_1_availability,1,1,0.0
job_1_once,1,1,2038.1333333333332
job_2_once,1,1,1761.1714285714288
one_route_per_vessel_Vessel_1_tw_2,2,1,0.0
tech_type_1_time_window_2_availability,2,1,0.0
tech_type_2_time_window_2_availability,2,1,0.0
job_1_once,2,1,2038.1333333333332
job_2_once,2,1,1761.1714285714288
one_route_per_vessel_Vessel_2_tw_1,1,2,0.0
tech_type_1_time_window_1_availability,1,2,0.0
tech_type_2_time_window_1_availability,1,2,0.0
job_1_once,1,2,2038.1333333333332
job_2_once,1,2,1761.1714285714288
one_route_per_vessel_Vessel_2_tw_2,2,2,0.0
tech_type_1_time_window_2_availability,2,2,0.0
tech_type_2_time_window_2_availability,2,2,0.0
job_1_once,2,2,2038.1333333333332
job_2_once,2,2,1761.1714285714288
one_route_per_vessel_Vessel_3_tw_1,1,3,0.0
tech_type_1_time_window_1_availability,1,3,0.0
tech_type_2_time_window_1_availability,1,3,0.0
job_1_once,1,3,2038.1333333333332
job_2_once,1,3,1761.1714285714288
one_route_per_vessel_Vessel_3_tw_2,2,3,936.0
tech_type_1_time_window_2_availability,2,3,0.0
tech_type_2_time_window_2_availability,2,3,0.0
job_1_once,2,3,2038.1333333333332
job_2_once,2,3,1761.1714285714288
one_route_per_vessel_Vessel_1_tw_1,1,1,0.0
tech_type_1_time_window_1_availability,1,1,0.0
tech_type_2_time_window_1_availability,1,1,0.0
job_1_once,1,1,2455.409523809524
job_2_once,1,1,1761.1714285714288
one_route_per_vessel_Vessel_1_tw_2,2,1,0.0
tech_type_1_time_window_2_availability,2,1,0.0
tech_type_2_time_window_2_availability,2,1,0.0
job_1_once,2,1,2455.409523809524
job_2_once,2,1,1761.1714285714288
one_route_per_vessel_Vessel_2_tw_1,1,2,0.0
tech_type_1_time_window_1_availability,1,2,0.0
tech_type_2_time_window_1_availability,1,2,0.0
job_1_once,1,2,2455.409523809524
job_2_once,1,2,1761.1714285714288
one_route_per_vessel_Vessel_2_tw_2,2,2,0.0
tech_type_1_time_window_2_availability,2,2,0.0
tech_type_2_time_window_2_availability,2,2,0.0
job_1_once,2,2,2455.409523809524
job_2_once,2,2,1761.1714285714288
one_route_per_vessel_Vessel_3_tw_1,1,3,0.0
tech_type_1_time_window_1_availability,1,3,0.0
tech_type_2_time_window_1_availability,1,3,0.0
job_1_once,1,3,2455.409523809524
